name,street_address,location_text,type_text,reviews_text,comments_text,Price_Range
Betty Lou's Seafood and Grill,318 Columbus Ave,"San Francisco, CA 94133-3908"," Seafood, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,,$$ - $$$
Coach House Diner,55 State Rt 4,"Hackensack, NJ 07601-6337"," Diner, American, Vegetarian Friendly",4 of 5 bubbles,"Both times we were there very late, after 11 PM.  At that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  Not so here - food was uniformly very good and the service quite good.  There weren't many people but it...More",$$ - $$$
Table Talk Diner,2521 South Rd Ste C,"Poughkeepsie, NY 12601-5476"," American, Diner, Vegetarian Friendly",4 of 5 bubbles,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one",$$ - $$$
Sixty Vines,3701 Dallas Pkwy,"Plano, TX 75093-7777"," American, Wine Bar, Vegetarian Friendly",4.5 of 5 bubbles,"Not sure why I went there for the second time. Will not go again. Not because it was terrible but because it is just average.  
The place needs a food clean .... our menus were filthy...the table was filthy 
It is impossible to have a...More",$$ - $$$
The Clam Bar,3914 Brewerton Rd,"Syracuse, NY 13212"," American, Bar, Seafood",4 of 5 bubbles,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More,$$ - $$$
E Tutto Qua,270 Columbus Ave,"San Francisco, CA 94133-4518"," Seafood, Italian, Pizza",4.5 of 5 bubbles,,$$ - $$$
Black Angus Steakhouse - Federal Way,2400 S 320th St,"Federal Way, WA 98003-5465"," American, Steakhouse, Bar",4 of 5 bubbles,This is an easy any time place to have dinner!  From week night to a special occasion.  The food is reasonably priced and always delicious!,$$ - $$$
Ziziki's,11663 Preston Rd,"Dallas, TX 75230-2704"," Mediterranean, Greek, Healthy",4.5 of 5 bubbles,"My husband and I went to Greece last fall and fell in love with the beauty and the food so while on a  Dallas business trip, we came across Ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...More",$$ - $$$
Vince's Italian Restaurant & Pizzeria,2815 NE Sunset Blvd,"Renton, WA 98056-3105"," Italian, Pizza, Vegetarian Friendly",4 of 5 bubbles,I love Vince's pizza and I was in the neighborhood after a meeting. I had a small pizza and salad.  Both were delicious and as I would expect. The service was friendly and attentive. The delivery was as quick as one can expect for a...More,$$ - $$$
John Thomas Steakhouse,1152 Danby Rd,"Ithaca, NY 14850-8927"," American, Steakhouse, Gluten Free Options",4 of 5 bubbles,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!",$$$$
