name,street_address,city,country,category,fee,description,rating,opening_time,closing_time,postal_code
Table Mountain Aerial Cableway,Tafelberg Road,Cape Town,South Africa,Nature,390.0,Cable car trip to the top of Table Mountain with views over Cape Town.,4.9,08:00:00,18:00:00,8001
Robben Island Museum,"V&A Waterfront, Nelson Mandela Gateway",Cape Town,South Africa,Cultural,450.0,Historic island museum and former prison site.,4.7,09:00:00,17:00:00,8001
V&A Waterfront,19 Dock Road,Cape Town,South Africa,Leisure,0.0,Waterfront shopping dining and entertainment precinct.,4.7,09:00:00,21:00:00,8001
Kirstenbosch National Botanical Garden,"Rhodes Drive, Newlands",Cape Town,South Africa,Nature,230.0,Botanical garden on the eastern slopes of Table Mountain.,4.8,08:00:00,18:00:00,7735
Cape Point Nature Reserve,Cape Point Road,Cape Town,South Africa,Nature,400.0,Scenic nature reserve at the south-western tip of the Cape Peninsula.,4.8,06:00:00,18:00:00,7975
Boulders Beach Penguin Colony,"Kleintuin Road, Simon's Town",Cape Town,South Africa,Wildlife,190.0,Protected beach area known for African penguins.,4.7,08:00:00,17:00:00,7995
Two Oceans Aquarium,"Dock Road, V&A Waterfront",Cape Town,South Africa,Family,250.0,Aquarium showcasing marine life from the Atlantic and Indian Oceans.,4.6,09:30:00,18:00:00,8001
District Six Museum,25A Buitenkant Street,Cape Town,South Africa,Museum,60.0,Museum telling the story of District Six and forced removals.,4.6,09:00:00,16:00:00,8001
Castle of Good Hope,Darling Street,Cape Town,South Africa,Historical,90.0,Historic fort and heritage site in central Cape Town.,4.3,09:00:00,17:00:00,8001
Bo-Kaap Museum,71 Wale Street,Cape Town,South Africa,Cultural,60.0,Museum and cultural stop in the colourful Bo-Kaap area.,4.4,09:00:00,16:00:00,8001
Zeitz MOCAA,"Silo District, V&A Waterfront",Cape Town,South Africa,Museum,250.0,Contemporary African art museum in the Silo District.,4.5,10:00:00,18:00:00,8001
Signal Hill,Signal Hill Road,Cape Town,South Africa,Viewpoint,0.0,Popular viewpoint overlooking Cape Town and the Atlantic coastline.,4.7,06:00:00,20:00:00,8001
Clifton Fourth Beach,"Victoria Road, Clifton",Cape Town,South Africa,Beach,0.0,Popular Atlantic Seaboard beach known for white sand and sunsets.,4.6,06:00:00,19:00:00,8005
Camps Bay Beach,"Victoria Road, Camps Bay",Cape Town,South Africa,Beach,0.0,"Beachfront area with mountain views, restaurants and ocean scenery.",4.6,06:00:00,19:00:00,8040
Chapman's Peak Drive,"Chapman's Peak Drive, Hout Bay",Cape Town,South Africa,Scenic Route,60.0,Famous coastal drive between Hout Bay and Noordhoek.,4.8,06:00:00,20:00:00,7806
Old Biscuit Mill,"375 Albert Road, Woodstock",Cape Town,South Africa,Market,0.0,Market and food precinct in Woodstock.,4.4,09:00:00,16:00:00,7925
Company's Garden,19 Queen Victoria Street,Cape Town,South Africa,Park,0.0,Historic public garden in central Cape Town.,4.5,07:00:00,18:00:00,8001
Norval Foundation,"4 Steenberg Road, Tokai",Cape Town,South Africa,Museum,200.0,Art museum and sculpture garden near the Constantia wine route.,4.5,10:00:00,18:00:00,7945
Groot Constantia Wine Estate,"Groot Constantia Road, Constantia",Cape Town,South Africa,Wine Estate,150.0,"Historic wine estate with tastings, museum spaces and vineyard views.",4.6,09:00:00,17:00:00,7806
Hout Bay Harbour,"Harbour Road, Hout Bay",Cape Town,South Africa,Harbour,0.0,"Working harbour with boat trips, seafood and mountain views.",4.3,08:00:00,18:00:00,7806
Apartheid Museum,Northern Parkway and Gold Reef Road,Johannesburg,South Africa,Museum,150.0,Museum documenting South Africa's apartheid history.,4.7,09:00:00,17:00:00,2001
Gold Reef City Theme Park,"Northern Parkway, Ormonde",Johannesburg,South Africa,Theme Park,250.0,Theme park and entertainment complex themed around gold mining history.,4.5,09:30:00,17:00:00,2159
Constitution Hill,"11 Kotze Street, Braamfontein",Johannesburg,South Africa,Historical,100.0,Historic prison complex and home of South Africa's Constitutional Court.,4.6,09:00:00,17:00:00,2001
