acc_name,street_address,city,country,acc_type,rating,price_per_night,description,postal_code
"Mount Nelson, A Belmond Hotel, Cape Town","76 Orange Street, Gardens",Cape Town,South Africa,Hotel,5.0,6500.0,"Iconic luxury hotel in Gardens, suitable for premium Cape Town packages.",8001
"Cape Grace, A Fairmont Managed Hotel","West Quay Road, V&A Waterfront",Cape Town,South Africa,Hotel,5.0,7200.0,Luxury waterfront hotel at the V&A Waterfront.,8001
The Table Bay Hotel,"Quay 6, V&A Waterfront",Cape Town,South Africa,Hotel,5.0,5500.0,Five-star hotel at the V&A Waterfront with harbour and mountain views.,8001
One&Only Cape Town,"Dock Road, V&A Waterfront",Cape Town,South Africa,Resort,5.0,7800.0,Luxury resort-style hotel in the V&A Waterfront.,8001
The Silo Hotel,"Silo Square, V&A Waterfront",Cape Town,South Africa,Hotel,5.0,9500.0,Premium boutique hotel above the Zeitz MOCAA precinct.,8001
Taj Cape Town,1 Wale Street,Cape Town,South Africa,Hotel,5.0,4200.0,Luxury city hotel close to Company Gardens and central attractions.,8001
Radisson RED Cape Town V&A Waterfront,"Silo 6, Silo Square, V&A Waterfront",Cape Town,South Africa,Hotel,4.5,3100.0,Modern hotel in the Silo District near the waterfront.,8001
AC Hotel by Marriott Cape Town Waterfront,"Dockrail Road, Foreshore",Cape Town,South Africa,Hotel,4.5,2900.0,Waterfront-area hotel suitable for business and leisure travellers.,8001
President Hotel,"4 Alexander Road, Bantry Bay",Cape Town,South Africa,Hotel,4.5,2600.0,Seaside hotel in Bantry Bay near beaches and restaurants.,8005
Hotel Verde Cape Town Airport,"15 Michigan Street, Airport Industria",Cape Town,South Africa,Hotel,4.0,2100.0,Airport hotel convenient for early flights and stopovers.,7490
Southern Sun Waterfront Cape Town,1 Lower Buitengracht,Cape Town,South Africa,Hotel,4.0,2300.0,Central hotel near the V&A Waterfront and Cape Town CBD.,8001
The Commodore Hotel,"Portswood Road, V&A Waterfront",Cape Town,South Africa,Hotel,4.0,2800.0,"Hotel near the V&A Waterfront, suitable for sightseeing packages.",8001
Victoria & Alfred Hotel,"Pierhead, V&A Waterfront",Cape Town,South Africa,Hotel,4.5,3900.0,Historic waterfront hotel close to harbour attractions.,8001
Lagoon Beach Hotel & Spa,"1 Lagoon Gate Drive, Milnerton",Cape Town,South Africa,Hotel,4.0,2400.0,Beachfront hotel with views toward Table Mountain.,7441
The Westin Cape Town,"Convention Square, Lower Long Street",Cape Town,South Africa,Hotel,5.0,4300.0,Large city hotel next to the Cape Town International Convention Centre.,8001
Protea Hotel Fire & Ice Cape Town,"New Church Street, Tamboerskloof",Cape Town,South Africa,Hotel,4.0,2200.0,Trendy hotel close to Kloof Street and the city centre.,8001
Gorgeous George by Design Hotels,118 St Georges Mall,Cape Town,South Africa,Hotel,4.5,3600.0,Boutique design hotel in Cape Town CBD.,8001
City Lodge Hotel V&A Waterfront,Corner Dock Road and Alfred Street,Cape Town,South Africa,Hotel,3.5,1800.0,Mid-range hotel close to the waterfront and city attractions.,8001
Hyatt Regency Cape Town,126 Buitengracht Street,Cape Town,South Africa,Hotel,4.0,2500.0,City hotel in central Cape Town near Bo-Kaap and CBD attractions.,8001
Pepperclub Hotel,Corner Loop Street and Pepper Street,Cape Town,South Africa,Hotel,5.0,3300.0,Luxury city hotel with access to dining and nightlife areas.,8001
"Four Seasons Hotel The Westcliff, Johannesburg","67 Jan Smuts Avenue, Westcliff",Johannesburg,South Africa,Hotel,5.0,6200.0,Luxury hillside hotel with views over Johannesburg.,2193
